id,name,brand,category,price,embedding_text
1,Nike Comfort Spor 3.0,Nike,Spor Ayakkabı,580.0,"Nike Comfort Spor 3.0. Marka: Nike. Kategori: Spor Ayakkabı. Nike Comfort Spor 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek taban, hafif, kaymaz taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yüksek taban, hafif, kaymaz taban. Fiyat: 580.0 TL. Sezon: yazlık. Renk: Mor. Cinsiyet: unisex."
2,Salomon Pro Koşu Boost,Salomon,Koşu Ayakkabısı,1200.0,"Salomon Pro Koşu Boost. Marka: Salomon. Kategori: Koşu Ayakkabısı. Salomon Pro Koşu Boost, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek koşu verimi, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yüksek koşu verimi, karbon plaka. Fiyat: 1200.0 TL. Sezon: 4 mevsim. Renk: Gri. Cinsiyet: kadın."
3,Skechers Speed Spor X,Skechers,Spor Ayakkabı,450.0,"Skechers Speed Spor X. Marka: Skechers. Kategori: Spor Ayakkabı. Skechers Speed Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, ortopedik, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, ortopedik, su geçirmez, nefes alan, kaymaz taban. Fiyat: 450.0 TL. Sezon: 4 mevsim. Renk: Beyaz. Cinsiyet: erkek."
4,Puma Pro Spor 3.0,Puma,Spor Şort,210.0,"Puma Pro Spor 3.0. Marka: Puma. Kategori: Spor Şort. Puma Pro Spor 3.0, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: dar kesim, hızlı kuruyan, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: dar kesim, hızlı kuruyan, esnek bel. Fiyat: 210.0 TL. Sezon: yazlık. Renk: Kırmızı. Cinsiyet: unisex."
5,Adidas Ultra Spor Max,Adidas,Spor Şort,200.0,"Adidas Ultra Spor Max. Marka: Adidas. Kategori: Spor Şort. Adidas Ultra Spor Max, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: fermuarlı cep, hafif, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: fermuarlı cep, hafif, geniş kesim, hızlı kuruyan. Fiyat: 200.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: erkek."
6,Adidas Air Koşu X,Adidas,Koşu Ayakkabısı,3180.0,"Adidas Air Koşu X. Marka: Adidas. Kategori: Koşu Ayakkabısı. Adidas Air Koşu X, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: karbon plaka, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: karbon plaka, geniş burun. Fiyat: 3180.0 TL. Sezon: yazlık. Renk: Yeşil. Cinsiyet: unisex."
7,Adidas Pro Spor Plus,Adidas,Spor Şort,710.0,"Adidas Pro Spor Plus. Marka: Adidas. Kategori: Spor Şort. Adidas Pro Spor Plus, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, esnek bel, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, esnek bel, hızlı kuruyan. Fiyat: 710.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: unisex."
8,Skechers Profesyonel Spor X,Skechers,Spor Şort,670.0,"Skechers Profesyonel Spor X. Marka: Skechers. Kategori: Spor Şort. Skechers Profesyonel Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hızlı kuruyan, fermuarlı cep, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hızlı kuruyan, fermuarlı cep, esnek bel, hafif. Fiyat: 670.0 TL. Sezon: yazlık. Renk: Turuncu. Cinsiyet: erkek."
9,Asics Elite Spor Lite,Asics,Spor Tişört,440.0,"Asics Elite Spor Lite. Marka: Asics. Kategori: Spor Tişört. Asics Elite Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: elastik, reflektif bant, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: elastik, reflektif bant, hafif, nem emici. Fiyat: 440.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: erkek."
10,Under Armour Profesyonel Spor Max,Under Armour,Spor Ayakkabı,2610.0,"Under Armour Profesyonel Spor Max. Marka: Under Armour. Kategori: Spor Ayakkabı. Under Armour Profesyonel Spor Max, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: ortopedik, kaymaz taban, yüksek taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: ortopedik, kaymaz taban, yüksek taban. Fiyat: 2610.0 TL. Sezon: yazlık. Renk: Lacivert. Cinsiyet: unisex."
