id,name,brand,category,description,price,original_price,stock_quantity,gender,season,color,sizes,features,rating,review_count,is_active,discount_pct,embedding_text
1,Nike Comfort Spor 3.0,Nike,Spor Ayakkabı,"Nike Comfort Spor 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek taban, hafif, kaymaz taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",580.0,580.0,7,unisex,yazlık,Mor,"[""36"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""y\u00fcksek taban"", ""hafif"", ""kaymaz taban""]",3.2,119,True,0.0,"Nike Comfort Spor 3.0. Marka: Nike. Kategori: Spor Ayakkabı. Nike Comfort Spor 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek taban, hafif, kaymaz taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yüksek taban, hafif, kaymaz taban. Fiyat: 580.0 TL. Sezon: yazlık. Renk: Mor. Cinsiyet: unisex."
2,Salomon Pro Koşu Boost,Salomon,Koşu Ayakkabısı,"Salomon Pro Koşu Boost, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek koşu verimi, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1200.0,1200.0,86,kadın,4 mevsim,Gri,"[""40"", ""41"", ""42"", ""45""]","[""y\u00fcksek ko\u015fu verimi"", ""karbon plaka""]",3.2,194,True,0.0,"Salomon Pro Koşu Boost. Marka: Salomon. Kategori: Koşu Ayakkabısı. Salomon Pro Koşu Boost, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek koşu verimi, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yüksek koşu verimi, karbon plaka. Fiyat: 1200.0 TL. Sezon: 4 mevsim. Renk: Gri. Cinsiyet: kadın."
3,Skechers Speed Spor X,Skechers,Spor Ayakkabı,"Skechers Speed Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, ortopedik, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",450.0,550.0,20,erkek,4 mevsim,Beyaz,"[""40"", ""41"", ""42"", ""43""]","[""hafif"", ""ortopedik"", ""su ge\u00e7irmez"", ""nefes alan"", ""kaymaz taban""]",4.7,443,True,18.2,"Skechers Speed Spor X. Marka: Skechers. Kategori: Spor Ayakkabı. Skechers Speed Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, ortopedik, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, ortopedik, su geçirmez, nefes alan, kaymaz taban. Fiyat: 450.0 TL. Sezon: 4 mevsim. Renk: Beyaz. Cinsiyet: erkek."
4,Puma Pro Spor 3.0,Puma,Spor Şort,"Puma Pro Spor 3.0, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: dar kesim, hızlı kuruyan, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",210.0,210.0,163,unisex,yazlık,Kırmızı,"[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]","[""dar kesim"", ""h\u0131zl\u0131 kuruyan"", ""esnek bel""]",4.4,112,True,0.0,"Puma Pro Spor 3.0. Marka: Puma. Kategori: Spor Şort. Puma Pro Spor 3.0, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: dar kesim, hızlı kuruyan, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: dar kesim, hızlı kuruyan, esnek bel. Fiyat: 210.0 TL. Sezon: yazlık. Renk: Kırmızı. Cinsiyet: unisex."
5,Adidas Ultra Spor Max,Adidas,Spor Şort,"Adidas Ultra Spor Max, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: fermuarlı cep, hafif, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",200.0,200.0,137,erkek,yazlık,Gri,"[""L"", ""M"", ""XL"", ""XS"", ""XXL""]","[""fermuarl\u0131 cep"", ""hafif"", ""geni\u015f kesim"", ""h\u0131zl\u0131 kuruyan""]",3.5,299,True,0.0,"Adidas Ultra Spor Max. Marka: Adidas. Kategori: Spor Şort. Adidas Ultra Spor Max, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: fermuarlı cep, hafif, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: fermuarlı cep, hafif, geniş kesim, hızlı kuruyan. Fiyat: 200.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: erkek."
6,Adidas Air Koşu X,Adidas,Koşu Ayakkabısı,"Adidas Air Koşu X, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: karbon plaka, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3180.0,3180.0,152,unisex,yazlık,Yeşil,"[""36"", ""37"", ""38"", ""40"", ""41"", ""44""]","[""karbon plaka"", ""geni\u015f burun""]",5.0,270,True,0.0,"Adidas Air Koşu X. Marka: Adidas. Kategori: Koşu Ayakkabısı. Adidas Air Koşu X, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: karbon plaka, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: karbon plaka, geniş burun. Fiyat: 3180.0 TL. Sezon: yazlık. Renk: Yeşil. Cinsiyet: unisex."
7,Adidas Pro Spor Plus,Adidas,Spor Şort,"Adidas Pro Spor Plus, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, esnek bel, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",710.0,960.0,155,unisex,yazlık,Beyaz,"[""M"", ""XL"", ""XS"", ""XXL""]","[""hafif"", ""esnek bel"", ""h\u0131zl\u0131 kuruyan""]",3.4,191,True,26.0,"Adidas Pro Spor Plus. Marka: Adidas. Kategori: Spor Şort. Adidas Pro Spor Plus, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, esnek bel, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, esnek bel, hızlı kuruyan. Fiyat: 710.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: unisex."
8,Skechers Profesyonel Spor X,Skechers,Spor Şort,"Skechers Profesyonel Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hızlı kuruyan, fermuarlı cep, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",670.0,670.0,136,erkek,yazlık,Turuncu,"[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]","[""h\u0131zl\u0131 kuruyan"", ""fermuarl\u0131 cep"", ""esnek bel"", ""hafif""]",4.5,65,True,0.0,"Skechers Profesyonel Spor X. Marka: Skechers. Kategori: Spor Şort. Skechers Profesyonel Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hızlı kuruyan, fermuarlı cep, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hızlı kuruyan, fermuarlı cep, esnek bel, hafif. Fiyat: 670.0 TL. Sezon: yazlık. Renk: Turuncu. Cinsiyet: erkek."
9,Asics Elite Spor Lite,Asics,Spor Tişört,"Asics Elite Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: elastik, reflektif bant, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",440.0,440.0,58,erkek,yazlık,Beyaz,"[""S"", ""XL"", ""XS"", ""XXL""]","[""elastik"", ""reflektif bant"", ""hafif"", ""nem emici""]",4.2,3,True,0.0,"Asics Elite Spor Lite. Marka: Asics. Kategori: Spor Tişört. Asics Elite Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: elastik, reflektif bant, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: elastik, reflektif bant, hafif, nem emici. Fiyat: 440.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: erkek."
10,Under Armour Profesyonel Spor Max,Under Armour,Spor Ayakkabı,"Under Armour Profesyonel Spor Max, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: ortopedik, kaymaz taban, yüksek taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2610.0,2610.0,147,unisex,yazlık,Lacivert,"[""36"", ""37"", ""38"", ""39"", ""41"", ""42"", ""44""]","[""ortopedik"", ""kaymaz taban"", ""y\u00fcksek taban""]",3.9,401,True,0.0,"Under Armour Profesyonel Spor Max. Marka: Under Armour. Kategori: Spor Ayakkabı. Under Armour Profesyonel Spor Max, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: ortopedik, kaymaz taban, yüksek taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: ortopedik, kaymaz taban, yüksek taban. Fiyat: 2610.0 TL. Sezon: yazlık. Renk: Lacivert. Cinsiyet: unisex."
